"id","mahallead","adano","parselno","tapucinsaciklama","tapumahalleref","tapualan","kadastroalan","geom"
673734535,DÝKMEN,"0","1542",HALÝ ARAZÝ,134643,3276.39,3276.3932306719,"POLYGON ((32.023376076949 39.999437125555, 32.023580113669 40.000000124187, 32.023702219911 40.000330367032, 32.02300479166 40.000340136492, 32.023096484368 40.000000146109, 32.023244827911 39.999620041323, 32.023376076949 39.999437125555))"
673734536,DÝKMEN,"0","1543",HALÝ ARAZÝ,134643,9285.12,9285.11918278451,"POLYGON ((32.023702219911 40.000330367032, 32.024070608313 40.001326673506, 32.022626885491 40.001185878131, 32.022978783117 40.000436573759, 32.02300479166 40.000340136492, 32.023702219911 40.000330367032))"
673734527,DÝKMEN,"0","1544",HALÝ ARAZÝ,134643,14385.78,14385.7849397538,"POLYGON ((32.024070608313 40.001326673506, 32.024231111617 40.001763325104, 32.024367794824 40.002222730275, 32.024195692811 40.002214454908, 32.023709333027 40.0021781623, 32.022382417436 40.002067928597, 32.02260115548 40.001428368747, 32.022626885491 40.001185878131, 32.024070608313 40.001326673506))"
673734528,DÝKMEN,"0","1545",HALÝ ARAZÝ,134643,5039.18,5039.18280440486,"POLYGON ((32.022382417436 40.002067928597, 32.023709333027 40.0021781623, 32.024195692811 40.002214454908, 32.024367794824 40.002222730275, 32.024443260133 40.00247637368, 32.023272577935 40.002408231898, 32.02230534172 40.002317992578, 32.022382417436 40.002067928597))"
673734529,DÝKMEN,"0","1546",HALÝ ARAZÝ,134643,4459.09,4459.09134975403,"POLYGON ((32.02230534172 40.002317992578, 32.023272577935 40.002408231898, 32.024443260133 40.00247637368, 32.02450615341 40.002687760302, 32.022232966262 40.002550376856, 32.02230534172 40.002317992578))"
673734530,DÝKMEN,"0","1547",HALÝ ARAZÝ,134643,9212.54,9212.54215144153,"POLYGON ((32.022232966262 40.002550376856, 32.02450615341 40.002687760302, 32.024621498182 40.003075434963, 32.022810326262 40.003004609577, 32.02209379025 40.002953166799, 32.022232966262 40.002550376856))"
673734533,DÝKMEN,"0","1548",HALÝ ARAZÝ,134643,9230.33,9230.33331887922,"POLYGON ((32.024621498182 40.003075434963, 32.024737033527 40.003463745762, 32.023787053762 40.00342309914, 32.022893505379 40.003363694257, 32.022008473886 40.003315564116, 32.02209379025 40.002953166799, 32.022810326262 40.003004609577, 32.024621498182 40.003075434963))"
673734534,DÝKMEN,"0","1549",HALÝ ARAZÝ,134643,29866.77,29866.7732231736,"POLYGON ((32.024737033527 40.003463745762, 32.024947850625 40.004172284353, 32.024999549519 40.00443643923, 32.024373031147 40.004456658939, 32.023169528829 40.004472800027, 32.021772978359 40.004423777051, 32.021905443145 40.004004959257, 32.022008473886 40.003315564116, 32.022893505379 40.003363694257, 32.023787053762 40.00342309914, 32.024737033527 40.003463745762))"
673734531,DÝKMEN,"0","1550",HALÝ ARAZÝ,134643,21537.9,21537.9010298952,"POLYGON ((32.021772978359 40.004423777051, 32.023169528829 40.004472800027, 32.024373031147 40.004456658939, 32.024999549519 40.00443643923, 32.025037577268 40.004630740301, 32.024886821759 40.005374228019, 32.024143366298 40.005264469252, 32.023052735482 40.005107059993, 32.021621039622 40.004892653216, 32.021727631284 40.00456371682, 32.021772978359 40.004423777051))"
673734532,DÝKMEN,"0","1551",HALÝ ARAZÝ,134643,11581.27,11581.2685315885,"POLYGON ((32.021621039622 40.004892653216, 32.023052735482 40.005107059993, 32.024143366298 40.005264469252, 32.024886821759 40.005374228019, 32.024811451095 40.005745930442, 32.024413769269 40.005681920761, 32.023672194272 40.005545719412, 32.023113607384 40.005468694156, 32.022527809964 40.005405296871, 32.02145563376 40.005252225002, 32.021621039622 40.004892653216))"
673735424,DÝKMEN,"0","1552",HALÝ ARAZÝ,134643,4370.48,4370.47654556221,"POLYGON ((32.021455633941 40.005252225025004, 32.022527809964 40.005405296871, 32.023113607384 40.005468694156, 32.023672194272 40.005545719412, 32.024413769269 40.005681920761, 32.024811451095 40.005745930442, 32.024786797029 40.005867514954, 32.023463174824 40.005668168459, 32.022381252443 40.005515671462, 32.02141970416 40.005371169542, 32.021455633941 40.005252225025004))"
